Unnamed: 0,title,date,author,content,domain,url
77927,'Next level ': Iberdrola plans $ 2.6bn gigawatt-scale green hydrogen-fuelled steel plant with Swedish pioneer,2021-12-02,,"['Plans for a gigawatt-scale electrolyser to fuel green steel processing using renewable hydrogen have been unveiled by global giant Iberdrola and a Swedish start-up.', 'Iberdrola and H2 Green Steel want to build the plant to start production in 2025 or 2026 at an as-yet undisclosed site on the Iberian Peninsula.', 'Iberdrola will deliver renewable power to a 1GW electrolyser to produce H2 that will in turn fuel reduction of iron ore using a process called DRI ( direct reduced iron) that usually relies on gas, producing about two million tonnes of ‘ green iron’ annually.', 'The partners said the project will have a budget of around €2.3bn ( $ 2.6bn) “ financed with a combination of public funding, green project financing and equity ”.', 'The two will also explore the potential of locating a major flat-steel production plant alongside the DRI facility.', 'Steelmaking has long been seen as a crucial target market for decarbonisation through green hydrogen, given the industry’ s massive reliance on fossil fuels to achieve the ultra-high temperatures needed for its processes.', 'A report from analyst group BloombergNEF this week said the steel industry is on the cusp of a ‘ titanic pivot’ from coal to green hydrogen – as long as the latter can achieve the steep cost reductions forecast for mid-century, which will largely depend on the availability of abundant, ultra-cheap renewable power.', 'H2 Green Steel – which counts Spotify billionaire Daniel Ek among its investors – is already working on a separate plan to build a green steel plant in northern Sweden by 2024.', 'The Swedish group’ s CEO Henrik Henriksson said: “ Large-scale green hydrogen production will be key to enable the transition of heavy industry towards sustainable operations. By working with a world-class partner, we can initiate our growth journey while reducing the technical risk in our [ existing ] Boden project. Iberdrola brings invaluable experience, technology and know-how that will be used to take our green steel projects to the next level. ”', 'Several other major hydrogen-based steel initiatives are underway across Europe, including the Hybrit project involving utility Vattenfall, mining company LKAB and steel firm SSAB.', 'For Iberdrola, the partnership is the latest in a series of moves to position itself as power provider to a range of e-fuels initiatives that already covers several industries.', ""Millán García-Tola, Iberdrola's global hydrogen director, said: “ We are also working with fertiliser producers, oil refineries, transport providers, and even whisky producers. The challenge of achieving net zero demands both vision and action across many industrial sectors. ”"", 'Recharge is part of DN Media Group. To read more about DN Media Group, click here', 'Recharge is part of DN Media Group AS. From November 1st DN Media Group is responsible for controlling your data on Recharge.', 'We use your data to ensure you have a secure and enjoyable user experience when visiting our site. You can read more about how we handle your information in our privacy policy.', 'DN Media Group is the leading news provider in the shipping, seafood, and energy industries, with a number of English- and Norwegian-language news publications across a variety of sectors. Read more about DN Media Group here.', 'Recharge is part of NHST Global Publications AS and we are responsible for the data that you register with us, and the data we collect when you visit our websites. We use cookies in a variety of ways to improve your experience, such as keeping NHST websites reliable and secure, personalising content and ads and to analyse how our sites are being used. For more information and how to manage your privacy settings, please refer to our privacy and cookie policies.']",rechargenews,https://www.rechargenews.com/news/2-1-1111100
81316,"Appalachian Power Issues RFP for 1,100 MW of Renewable Energy",2022-01-19,,"['Appalachian Power has issued a new request for proposals ( RFP) for up to 1,000 MW of wind and 100 MW of solar generation resources with optional battery energy-storage systems. The proposals will help the company meet the renewable energy requirements established by Virginia’ s Clean Economy Act ( VCEA). Under the VCEA, Appalachian Power must meet annual targets as it works toward 100% carbon-free energy in its Virginia service territory by 2050.', 'The company seeks to acquire the completed wind and/or solar projects through one or more purchase and sale agreements. Facilities must be at least 50 MW in size and achieve a commercial operation date of no later than Dec. 15, 2025. Bidders of solar projects may also include proposals with an option for a battery-energy storage system. To qualify for consideration, solar projects must be located within Virginia; wind projects may be located outside of the commonwealth.', 'All projects must be interconnected to PJM, the independent regional transmission organization that manages the electric grid in 13 states, including Virginia. Under the RFP, Appalachian Power may acquire a single or multiple wind and/or solar facilities from winning bidders who meet certain economic and operational criteria.', '“ We’ ve made significant progress in establishing our renewables portfolio over the past two years, ” says Chris Beam, Appalachian Power’ s president and COO. “ This is the largest RFP we’ ve issued for wind to date, and we intend to issue additional requests for proposals this year as we work to provide more clean energy options for our customers. ”', 'The RFP’ s issued later this year will be for energy storage and solar power purchase agreements. Businesses seeking to submit a proposal can access criteria, required forms and other specifics online here. Proposals must be submitted by March 8, 2022. Any project selected by Appalachian Power through the RFP process is conditional upon and subject to approval by the required regulatory authorities.', 'Solar Industry offers industry participants probing, comprehensive assessments of the technology, tools and trends that are driving this dynamic energy sector. From raw materials straight through to end-user applications, we capture and analyze the critical details that help professionals stay current and navigate the solar market.', '© Copyright Zackin Publications Inc. All Rights Reserved.']",solarindustrymag,https://solarindustrymag.com/appalachian-power-issues-rfp-for-1000-mw-of-renewable-energy
1323,Orsted's Green Plans Lag Its Peers,2021-06-04,,"[""Danish utility Orsted intends to spend over $ 57 billion on renewables and low-carbon technologies by the end of 2027 in a bid to establish itself as a `` global green energy major. '' But the ambitious target, revealed last week, still lags that of a number of its European utility peers, as well as oil and gas companies positioning themselves for the energy transition ( WGI Nov.18'20). Orsted is now eyeing 50 gigawatts of installed renewable capacity by 2030. That is roughly in line with BP, which has set a `` net developed '' renewable capacity target of 20 GW by 2025 and 50 GW by 2030. But it's less than TotalEnergies, which is targeting 35 GW by 2025 and 100 GW by 2030, or other European utilities such as Spain's Iberdrola and Italy's Enel. Iberdrola says it will spend €150 billion ( $ 183 billion) on having 95 GW of installed renewable capacity by 2030 ( WGI Mar.3'21). Enel wants 145 GW operational by that date. Orsted became a pure renewables player in 2017 after selling its oil and gas business. It has become a world leader in offshore wind, betting heavily on the technology over the past decade when some of its peers dismissed it as too expensive. Its new plan increases by 50% the expenditure pledge made at Orsted's last capital markets day in 2018 and quadruples existing renewables capacity of 12 GW. Playing to its strengths, the company will devote the lion's share of spending to offshore wind. It plans to add 22.5 GW to existing operational capacity of 7.5 GW. It has 17.3 GW of firm capacity in the pipeline, either under construction or in late-stage development, and must progress a further 12.7 GW. Growth markets include the US, the Baltic states, the Nordic region and Asia. With 68 GW in potential projects, there are plenty of options on the table. The company says the growing offshore wind market will allow it to be `` selective, '' and that `` early moves enable Orsted to leverage its development expertise and avoid excessive premiums as markets/projects mature '' ( WGI Feb.24'21). Orsted expects offshore wind to be the fastest-growing renewable technology over the next decade. It puts annual growth at roughly 20%, and sees installed capacity jumping from 24 GW in 2020 to more than 170 GW in 2030. The EU expects 60 GW to be built by 2030, while the US has a nonbinding target of 30 GW. Still, the International Energy Agency says the pace of growth remains below levels needed to reach net-zero emissions by midcentury. In addition, the company intends to expand in onshore wind and solar photovoltaics to become a `` top 10 '' global onshore renewables player, with 17.5 GW of operational capacity by 2030. The US, Europe and Asia are all seen as growth markets. Some 4.7 GW of mainly onshore wind and solar PV capacity is operational, and roughly 10 GW is `` substantiated, '' leaving 2 GW-3 GW of projects to be found. It wants to split the capacity 50-50, versus 70% onshore wind now, reflecting customer preferences for solar-based corporate power purchase agreements. Orsted also wants to become a global leader in green fuels and green hydrogen -- produced from renewables -- to displace fossil fuel-based hydrogen in refineries and ammonia production, and for use in new areas like steel and heavy transport. It has more than 3 GW of electrolyzer capacity in the pipeline ( WGI Jun.17'20). Projects have been proposed in Denmark, the Netherlands, Germany, Norway and the UK, some linked to huge offshore wind farms. But it warns that `` regulatory mandates or incentives for green fuels '' will be required to unlock renewable hydrogen and green fuels projects in Europe, and a customer base must be built up ( WGI Oct.7'20).""]",energyintel,https://www.energyintel.com/0000017b-a7dd-de4c-a17b-e7df67720000
78039,Offshore wind ' a massive untapped potential ' but world needs more oil and gas now: Musk,2022-08-29,,"['Offshore wind power is rapidly emerging as a main engine of the world’ s future energy system given its “ massive untapped potential ”, but oil and gas will continue to be crucial to a functional society “ in the near-term ”, according to Tesla founder and SpaceX chief Elon Musk.', 'Musk, speaking during the open session at the Offshore Northern Seas conference in Stavanger, Norway, said the global energy transition currently rested on “ three pillars ”: sustainable energy generation, battery storage and electric vehicles, with “ ocean wind ” a central renewable resource.', '“ Ocean wind is a massive untapped potential. [ Build ] a 100 x 100 array of 10MW [ wind ] turbines and you get 100GW – which you will need to marry to [ industrial scale ] stationary [ energy ] storage, ” he said.', '“ We must have a clear path for a sustainable energy future [ based ] on hydro [ power ], geothermal, wind, solar. ”', 'However, Musk stressed that due to the global energy crisis now unfolding, a ramp-up of hydrocarbon production was necessary in the short-term.', '“ I don’ t tend to demonise oil and gas. These are necessary right now if civilisation is going to function. At this point in time, I actually think we need more oil and gas, not less... but simultaneously moving as fast as we can to a sustainable energy economy. ”', 'At the same time Musk said he expects “ tremendous change over the next five, 10, 15 years ”, including foreseeing half of all cars coming off the assembly line in 2030 being electric.', '“ The transition to sustainable energy industry hinges on the rate of battery production [ that the world can achieve ], he noted.', 'Musk said despite the current pace of the energy transition being off-track to meet the Paris Agreement target of keeping global heating to a 1.5℃ rise above pre-industrial levels that “ things are improving exponentially in terms of sustainable energy ”, adding “ but if we can make it go faster, then all the better ”.', '“ If the stakes are important enough then you take the risks [ of accelerating the transition ].', 'He added: “ What will actually happen [ in the energy transition ] is an ‘ S-curve’ – an exponential increase, then linear, then logarithmic – true of any large industrial transition. ”', 'The International Energy Agency forecasts that the build-out of offshore wind plant could reach 2TW or more by 2050, creating a $ 1trn-plus market.', 'Recharge is part of DN Media Group. To read more about DN Media Group, click here', 'Recharge is part of DN Media Group AS. From November 1st DN Media Group is responsible for controlling your data on Recharge.', 'We use your data to ensure you have a secure and enjoyable user experience when visiting our site. You can read more about how we handle your information in our privacy policy.', 'DN Media Group is the leading news provider in the shipping, seafood, and energy industries, with a number of English- and Norwegian-language news publications across a variety of sectors. Read more about DN Media Group here.', 'Recharge is part of NHST Global Publications AS and we are responsible for the data that you register with us, and the data we collect when you visit our websites. We use cookies in a variety of ways to improve your experience, such as keeping NHST websites reliable and secure, personalising content and ads and to analyse how our sites are being used. For more information and how to manage your privacy settings, please refer to our privacy and cookie policies.']",rechargenews,https://www.rechargenews.com/news/2-1-1286193
16584,Germany Threatens To Derail EU Green Deal Over Fossil Car Phaseout,2023-03-03,,"['The “ Climate Chancellor ” needs to draw a line between national disputes and what has already been agreed with Germany’ s international partners.', 'The German Transport Minister has threatened that the government will abstain from an EU vote to end the sale of new combustion engine cars and vans from 2035. EU governments and the European Parliament reached an agreement on the 2035 deadline last year after Germany’ s FDP party said it would support the law.', 'A final vote by ministers on the deal had been planned for Tuesday ( 7th March) and was expected to be a formality. But it has been postponed, with no new date given for when a vote will be taken by the European Council. If the FDP’ s threat that Germany will abstain is carried out, it will block a key part of the European Green Deal — the EU’ s plan to become climate neutral in 2050. Cars are responsible for 12% of greenhouse gas emissions in Europe. A 2035 phaseout of internal combustion cars and vans in the EU would save almost 2 Gt of CO2 emissions by 2050, an analysis by green group Transport & Environment ( T & E) shows.', 'Julia Poliscanova, senior director for vehicles and emobility at T & E, said: “ The FDP are turning Europe’ s engine phase-out into a battle for the soul of Germany’ s governing coalition. By blocking the most progressive climate legislation in the world, the Liberals risk not only the breakup of the coalition but Germany’ s credibility on the world stage.', '“ The FDP’ s cry for e-fuels is about domestic political point scoring after a series of election defeats. Championing the internal combustion engine might play well to their base, but it will give the advantage to the US and China, which are threatening to overtake Europe with massive investments in electric cars and batteries.', '“ The self-proclaimed Climate Chancellor must now make clear that Germany is a reliable international partner. If the combustion engine phase-out is overturned, the failure of EU climate policy will forever be associated with Olaf Scholz. The Chancellor already supported the agreement back in November when concessions were made for Germany. At stake is not just the single most important law to tackle transport emissions but also Germany’ s reputation in Europe and the world. ”', 'Transport & Environment’ s ( T & E) vision is a zero-emission mobility system that is affordable and has minimal impacts on our health, climate and environment. Created over 30 years ago, we have shaped some of Europe’ s most important environmental laws.', 'Advertise with CleanTechnica to get your company in front of millions of monthly readers.', 'A new cargo ship will use 100% wind energy to ferry goods between Europe and the US, without the carbon baggage.', 'T & E analysis shows a big impact on NO2 pollution in European cities; brake particle emissions could be almost halved.', 'Volkswagen says it has perfected a new dry battery process that will drive down costs while ORNL has a new isostatic pressure process.', ""In sales pitches for methanol and ammonia for maritime fuels, the numbers don't add up, and the omissions are glaring."", 'Copyright © 2023 CleanTechnica. The content produced by this site is for entertainment purposes only. Opinions and comments published on this site may not be sanctioned by and do not necessarily represent the views of CleanTechnica, its owners, sponsors, affiliates, or subsidiaries.']",cleantechnica,https://cleantechnica.com/2023/03/03/germany-threatens-to-derail-eu-green-deal-over-fossil-car-phaseout/
17198,Does The Tesla Cybertruck Have Serious Problems?,2023-06-10,,"['The Tesla Cybertruck was introduced to shock and awe, disgust and obsession, in late 2019. It was supposed to be delivered to customers starting in 2021, but as we all know, it’ s not on the market yet. The explanation has been simple — there weren’ t enough batteries for existing models to sell out ( the Model Y and Model 3), so what’ s the point in producing a new model. However, there may be other reasons as well, and some news out this week about the Cybertruck alpha implies that there may be more to it than all that.', 'As you may recall, a lot of Tesla documents were leaked in Germany to the major news outlet Handelsblatt. As part of those documents, it was apparently revealed that the Cybertruck alpha was full of issues, issues concerning the suspension, braking, handling, body sealing, noise levels, and more. Naturally, there are a couple of potential explanations at play here. One is that the vehicle was simply in a very early stage of development and it was not considered important to make sure these things were refined — and there’ s perhaps nothing at all to be concerned about in that case. Another explanation is that there are critical problems with Cybertruck design and development, and those may not be resolved yet and may not be resolved soon. Frankly, we don’ t know which of these two explanations is valid — or if there’ s perhaps a middle explanation that involves a bit of both.', 'A veteran automotive engineer who looked through the report on these issues noted that Tesla should be able to address them all — it’ s got the money to pour into getting the Cybertruck right. However, “ my first reaction is I am astounded. These are classic mechanical automotive engineering challenges that you have in pretty much any vehicle. I’ m blown away that they would be struggling so much with the basics. ”', 'Tesla Cybertruck, Petersen Automotive Museum. Photo by Kyle Field | CleanTechnica', 'While some are concerned, or feign concern, that the Cybertruck alpha is “ leaky, noisy, and has poor handling and braking, ” as Wired reports; former Nissan COO and Aston Martin Lagonda CEO Andy Palmer notes, “ It’ s an alpha-stage vehicle, so it’ s not surprising that it’ s some way off its targets. ” However, he also says that it’ s abnormal to put that scathing of an assessment into a written report, due to the potential of it being leaked … as it was. “ You’ d be giving the engineers that wrote this stuff a good bollocking. You don’ t normally write this down. ”', 'Also, while the general idea is that all these issues can get worked out before the production vehicle arrives, there is concern that it’ s not so straightforward. The problems with seals can present issues keeping out rain, wind, and noise; and the report states “ there are a number of areas that we do not have a clear path to sealing. ” That’ s not good. “ Data in the report shows that the alpha version was significantly noisier than engineers had projected based on their designs, ” Wired states, “ and that testers had identified 21 potential noise leaks in the body of the vehicle.', 'There are also concerns about braking, torsional stiffness, and other things. “ The brake performance seems serious. I’ m surprised they’ re not further forward, ” Palmer says. “ So to be only on prototype parts at this stage is quite late. ”', 'The automotive production industry has evolved to be more effective and more efficient for more than a century, with millions of new vehicles a year getting created from more and more refined manufacturing processes. The Cybertruck can benefit from many of those too, but there’ s no denying that it does a lot differently and there may be more challenges in design and production than we presume off the bat.', 'We’ ll see. The Cybertruck is supposed to truly be in production in 2024. We don’ t have too long to wait in order to see how a production version of the Cybertruck actually turns out and whether any of these early issues remain issues or it’ s all just another case of overhyped FUD ( fear, uncertainty, and doubt).', 'One thing we know is that the alpha version is not the final version. Much gets done between the alpha version of a new model being produced and the first consumer versions being produced. I wouldn’ t panic about Cybertruck issues at this point, but I do think it’ s worth making this note in case it’ s a topic to come back to in a year or two.', ""Zach is tryin ' to help society help itself one word at a time. He spends most of his time here on CleanTechnica as its director, chief editor, and CEO. Zach is recognized globally as an electric vehicle, solar energy, and energy storage expert. He has presented about cleantech at conferences in India, the UAE, Ukraine, Poland, Germany, the Netherlands, the USA, Canada, and Curaçao. Zach has long-term investments in Tesla [ TSLA ], NIO [ NIO ], Xpeng [ XPEV ], Ford [ F ], ChargePoint [ CHPT ], Amazon [ AMZN ], Piedmont Lithium [ PLL ], Lithium Americas [ LAC ], Albemarle Corporation [ ALB ], Nouveau Monde Graphite [ NMGRF ], Talon Metals [ TLOFF ], Arclight Clean Transition Corp [ ACTC ], and Starbucks [ SBUX ]. But he does not offer ( explicitly or implicitly) investment advice of any sort."", 'Advertise with CleanTechnica to get your company in front of millions of monthly readers.', 'Trump went down to Georgia, looking for some votes to steal. He was in a bind cuz he was way behind and he was...', 'Economies around the world have been bonkers the past several years, since COVID hit. That has been more evident in the auto industry more...', 'The past, present, and future of the charging market in the United States and how it impacts the rate of adoption of electric vehicles....', 'Tesla hits the UK with its strongest ever May, helping lift the plugin electric vehicle market share to 23.1%, up from 18.3% year on...', 'Copyright © 2023 CleanTechnica. The content produced by this site is for entertainment purposes only. Opinions and comments published on this site may not be sanctioned by and do not necessarily represent the views of CleanTechnica, its owners, sponsors, affiliates, or subsidiaries.']",cleantechnica,https://cleantechnica.com/2023/06/09/does-the-tesla-cybertruck-has-serious-problems/
80810,3SUN set to reach 3GW of module capacity at Italian plant in 2023,2021-05-13,,"['The solar module manufacturing subsidiary of Italian utility Enel is aiming to scale up annual production capacity to 3GW in the second half of 2023, the company has confirmed.', 'Nameplate capacity at 3SUN’ s plant in Sicily is currently 200MW per year for bifacial heterojunction modules, with all output shipped to Enel Green Power North America for use in solar projects in the US.', 'That figure will be ramped up over the next two years, with 3SUN aiming to sell future products from the plant to both the distributed generation and utility-scale solar market, Enel Green Power told PV Tech.', 'Founded in 2011, the Sicily plant manufactured thin-film modules until 2017. Backed by European Union funds, Enel Green Power inaugurated the new production line for HJT technology in 2019, with the facility now capable of producing 500,000 modules annually.', 'Enel Green Power last year announced that it achieved a heterojunction solar cell efficiency of 24.63% through a partnership with the French National Solar Energy Institute. The company said the bifacial cell efficiency was increased by approximately 0.7% thanks to enhanced processes of layer deposition and screen metallisation based on heterojunction processes developed internally.', 'Having carried out successful solar research and development, the firm is now looking to increase scale at the Sicily plant, said Salvatore Bernabei, CEO of Enel Green Power, at a session during this week’ s SolarPower Summit event, organised by trade association SolarPower Europe.', 'Reaching the 3GW-per-year milestone will make the 3SUN facility company competitive in terms of cost, Bernabei said, because currently “ we are only competitive in terms of efficiency ”.', 'It was suggested in another panel discussion at the virtual event that European solar companies may need up to €7 billion ( US $ 8.51 billion) in capital investment to scale up solar manufacturing to be globally competitive.']",pv-tech,https://www.pv-tech.org/3sun-set-to-reach-3gw-of-module-capacity-at-italian-plant-in-2023/
78134,US solar industry to resume strong growth in 2023 after 'tumultuous year ': SEIA,2023-03-09,,"['Latest figures from trade body show some supply chain issues will ease, enabling installations to surge 43% to a record 28.4GW', 'US solar in 2023 will return to robust growth after experiencing “ one of the most tumultuous years in the industry’ s history ” amid supply chain constraints, trade policy turmoil, and with passage of a landmark federal climate law, according to a new report by Solar Energy Industries Association ( SEIA) and Wood Mackenzie.', '“ While 2022 was a tough year for the solar industry, we do expect some of the supply chain issues to ease, propelling 2023 growth to 41%, ” said Michelle Davis, principal analyst at Wood Mackenzie and lead author of the report.', 'Recharge is part of DN Media Group. To read more about DN Media Group, click here', 'Recharge is part of DN Media Group AS. From November 1st DN Media Group is responsible for controlling your data on Recharge.', 'We use your data to ensure you have a secure and enjoyable user experience when visiting our site. You can read more about how we handle your information in our privacy policy.', 'DN Media Group is the leading news provider in the shipping, seafood, and energy industries, with a number of English- and Norwegian-language news publications across a variety of sectors. Read more about DN Media Group here.', 'Recharge is part of NHST Global Publications AS and we are responsible for the data that you register with us, and the data we collect when you visit our websites. We use cookies in a variety of ways to improve your experience, such as keeping NHST websites reliable and secure, personalising content and ads and to analyse how our sites are being used. For more information and how to manage your privacy settings, please refer to our privacy and cookie policies.']",rechargenews,https://www.rechargenews.com/wind/us-solar-industry-to-resume-strong-growth-in-2023-after-tumultuous-year-seia/2-1-1416975
16077,Energy Archives - Page 9 of 87,2022-07-31,,"[""Six northeast US states have combined forces to fight for a share of the Energy Department's $ 8 billion funding pot for Regional Clean Hydrogen..."", ""Batteries are the secret ingredient in the new series Running Wild: The Challenge, and they also feature front and center in the US Army's..."", 'Agrivoltaics can help solve a trifecta of issues impacting agriculture in the US and elsewhere: energy, revenue, and water.', 'A $ 24 million investment in new long duration energy storage technology gives Cummins yet another reason to support the Inflation Reduction Act of 2022.', 'Nuclear energy fans have a new card to play as global demand for hydrogen ramps up.', 'Over a decade has passed since the Deepwater Horizon oil spill disaster. Cleanup attempts to return ecosystems to their pre-spill status continue, and many...', ""Missouri and Illinois are hatching plans for a new industrial hub with a green hydrogen angle, but Missouri's `` trigger law '' could throw a monkey..."", 'Virginia is going from near-zero wind power to 2.6 gigawatts all at once, with the approval of a new offshore wind plan for Dominion...', 'The Energy Department is planning on 100% renewable energy now, Inflation Reduction Act or not.', 'It’ s possible to design machines that are anchored to the deep ocean bottom that will “ fly ” in the current, like kites in the wind....', 'In a brilliant case of epic timing, MISO announced a new transmission line plan for more renewable energy in the US midsection earlier this...', 'Copyright © 2023 CleanTechnica. The content produced by this site is for entertainment purposes only. Opinions and comments published on this site may not be sanctioned by and do not necessarily represent the views of CleanTechnica, its owners, sponsors, affiliates, or subsidiaries.']",cleantechnica,https://cleantechnica.com/tag/energy/page/9/
6728,Five ways for the energy industry to shift the dial on inclusion in 2023,2023-01-04,,"['I remember once being in a queue at a newsagent in Croydon, London when a gentleman approached me with the excitement of someone who had just discovered they were the heir to a huge fortune and said, “ This is the end of racism! ”.', 'It was November 5, 2008 and like many around the world, viewers in the UK – myself included – had been glued to their screens to see Barack Obama declared as the first black President of the United States of America.', 'The promise of that historic event was reflected in the hope on this man’ s face. “ Well, the beginning of the end ”, I replied. Looking back on that day more than 14 years ago and thinking of the deeper concerns around the race conversation in the USA and around the world, I was right to temper my optimism with caution.', 'Since then, there has been a greater outcry and most objective observers admit that event has done little to shift the dial on the racial equity. The moments that are at first seen as watersheds become fleeting at best, leading us all to doubt that true change is possible.', 'These sentiments are not new; they are reflected in the words of writer Jean-Baptise Alphonse Karr ( “ la plus ca change, plus c’ est la meme chose ”) which written in English mean, “ the more things change, the more they stay the same ”.', 'The same can be said of the increased conversation after the tragic murder of George Floyd and the broadening of the diversity conversation that followed. There is no doubt that some companies made advances. At AFBE-UK, we have seen our membership grow to almost 70 corporate partners and while this is encouraging, there is still a long road to travel.', 'Real progress involves cultivating an environment that is psychologically safe and enabling enough for people to give their best at work. It’ s about ensuring that our organisations reflect, at all levels the communities in which we operate.', 'I have seen first-hand the dance of persuasion that many equality, diversity and inclusion ( ED & I) champions must do with the stakeholders to get the go-ahead for initiatives.', 'The truth is that in most companies, the responsibility for cultural change rest on the shoulders of particularly passionate individuals or on the HR department by default. These committed individuals either move on, get promoted or burn out and give up, all the changes they sought to make get undone and we are left wondering why “ …things stay the same ”.', 'In the meantime, we encounter business challenges that would be mitigated in an inclusive environment where every voice counts and fail to connect the dots. Having seen this happen repeatedly in organisations, it’ s hard not to be sceptical about change being truly possible. It’ s no wonder the civil rights campaigner Angela Davis described ED & I as the “ difference that doesn’ t make a difference ”', 'For lasting change to occur, companies must move away from the “ volunteer-based or CSR ” model and instead draw lessons from the world of safety. This means businesses ensuring that inclusivity is interwoven into all of its facets and is included in its performance indicators i.e., is viewed as a key part of what makes a business work.', 'So, what does change look like? I believe there are 5Cs that will help your company shift the dial in the New Year.', 'The first is Candour, by which I mean an open and honest conversation. about how the business is doing and how all employees truly feel about your efforts. This should not only include people from minority groups but employees from the majority who may fear the zero-sum game in which the proposed changes stand to disadvantage them.', 'The second is Cohesion; far too often companies engage in divergent efforts to achieve the same goal. Efforts on inclusion are also rarely tied to business performance. This makes it impossible to monitor the impact of our efforts. For example – does your plan for long-term diversity include STEM outreach to young pupils in your area or does it begin with graduate intake? Is your company seeking to understand how cognitive diversity is helping the business reach better outcomes? Does your work on diversity extend to your supply chain? Do middle managers see diversity as a tool for better outcomes, or just a nice-to-have? Without these considerations we will have plenty of activity but little productivity.', 'The third is Consistency which involves sustained effort in doing actions repeatedly. One-off lunch and learn sessions will not make your company more inclusive. It’ s not what we do momentarily but what we do habitually that leads to change. In the energy sector we have safety woven into all our processes and decision gates. Can we do the same with inclusion in all its forms? Can your company alternate safety moments with inclusion moments to really embed inclusion into our culture.']",energyvoice,https://sgvoice.energyvoice.com/reporting/companies/22174/five-ways-for-the-energy-industry-to-shift-the-dial-on-inclusion-in-2023/
